filename,needs maintenance,normal
craiyon_084440_very_clean_galvanized_pipe_joints_in_an_industrial_setting_png_jpg.rf.3895e92f645c23aa218f731f848b1dad.jpg,0,1
Image_134_jpg.rf.05a45d23a09d1c848e8c969a9bdc0047.jpg,0,1
metal-cracks_133_jpeg.rf.f99fd3576a072772ec9d84b7e8c4fd1f.jpg,1,0
139-_jpeg.rf.fd64c8ae295a57ac2b61a2a4ad6320ae.jpg,1,0
metal-cracks_117_jpeg.rf.7398729d1f6f8ccee9b494ed65a0cd92.jpg,0,1
356-_jpeg.rf.d0c368dd9a08bb7641ffe2ab7fd50aec.jpg,1,0
main-qimg-7c290a54e6fe1a059923ceebbf167164-lq_jpg.rf.047dd0b77fdde983ee6da8d31562f2cf.jpg,1,0
235e7ba7c0_jpeg.rf.a1d65625923db3609b63f74da51f755b.jpg,1,0
metal-cracks_135_jpeg.rf.7d02e3ec464f517e39dd56fc6f99bee8.jpg,1,0
Image_48_jpg.rf.fb5f836e61766900b8c86facdd46d77c.jpg,0,1
craiyon_083125_rusty_metal_surface_with_paint_chipping_png_jpg.rf.e63d032f7febf5fbfa397029d3242523.jpg,1,0
240_F_356046061_epq7Xh6Bhv5ib4bCKi9rOTQpzsSQVUQz_jpg.rf.1680378f7c1e1729b487b1407ef85995.jpg,1,0
cd21ab37-images-12-_jpeg.rf.a0d6b944f16eb5b2d1d76658bdc47a05.jpg,1,0
bcfa14d520_jpeg.rf.36ca23882d66325a164c329873ffe6be.jpg,1,0
craiyon_084311_very_clean_blue_pipe_joints_in_an_industrial_setting_png_jpg.rf.ec73fee38c69f7183086bfd98a301b78.jpg,0,1
Image_51_jpg.rf.401cddee1ad36d48d7d7e1069b3e1b03.jpg,0,1
stock-photo-textured-metal-rusty-dirty-background-305422973_jpg.rf.39ab73f3c928cbec92fe361ea182879a.jpg,1,0
000555_jpeg.rf.c1168ce8ed3bfeb5058ca61c35d66918.jpg,1,0
Image_46_jpg.rf.ef7b8b4a5e64f6fabd96098046220734.jpg,0,1
WhatsApp-Video-2024-01-14-at-20_36_25_3228b9ed_mp4-3_jpg.rf.24ebf17d072bb05e4c55d26bf7e74e6d.jpg,1,0
Image_119_jpg.rf.26acebdb46f21dabd7872927f03c95fe.jpg,0,1
Screenshot-2022-08-16-100333_jpg.rf.3752c0e798748e52999f199cae25b091.jpg,0,1
240_F_167472835_4ATboKTtDAVwFpPP3ziSyBRYPQOwplDj_jpg.rf.898314100a6fd5a6d72e0f0b33be97f5.jpg,1,0
rust_mp4-18_jpg.rf.ee2f9f6598f36ee3ab25d04d694cd97b.jpg,1,0
1000_F_320826397_jl6kdTnq7alVV0YZVrFg03ymfUgPTrR2-1-_jpg.rf.494229633568ab7d48ab6a9571727c27.jpg,1,0
1000_F_260332775_aVjUn2NWEjiygjmgTW2weL0vIoEC9yDZ_jpg.rf.1cc1b123de889db4c9abf3d7101315c3.jpg,1,0
389-_jpeg.rf.0dee886f2d63e2d19b798bef2dc009b7.jpg,1,0
000179_jpeg.rf.64ca327e6d2fcb65472661cac64ba7c7.jpg,0,1
Image_65_jpg.rf.41208444bbe3db83663a54c5f78ff0f0.jpg,0,1
craiyon_084427_very_clean_galvanized_pipe_joints_in_an_industrial_setting_png_jpg.rf.3be1d9503bd63f4cce5c2f1a9eee83b7.jpg,0,1
Image_50_jpg.rf.6f4df1dc1a8807b69190036fc79cadb3.jpg,0,1
Image_127_jpg.rf.bc0043cd627e83d208daf9ce0062a090.jpg,0,1
78127cba52_jpeg.rf.4a4eacef479bba51d9220867247dfdcd.jpg,1,0
60c6b63966_jpeg.rf.e0e3d99a0aecd3828b0faea1fd453447.jpg,1,0
WhatsApp-Video-2024-01-14-at-20_36_25_3228b9ed_mp4-0_jpg.rf.43d83103a2d723f62804330477b55d6a.jpg,1,0
337-_jpeg.rf.e548121b8f2dba02969025f1657481b1.jpg,1,0
Image_120_jpg.rf.dbffb2e35037cd1860f164a4e5750e4c.jpg,0,1
Screenshot-2022-08-16-100511_jpg.rf.11cb08f3c1e2ac75619fa496a5ab2678.jpg,0,1
28e8a78711_jpeg.rf.c5f7fc286bf80625c9de30d596c7a8bc.jpg,1,0
craiyon_084427_very_clean_galvanized_pipe_joints_in_an_industrial_setting_png_jpg.rf.f4bc4d4b2002a5e600a736fb4fbe5406.jpg,0,1
Image_71_jpg.rf.bbbb66e2da2c8f226274d3fe4dd49a2b.jpg,0,1
Image_135_jpg.rf.712f8966a8ec43618ac3c8f1ce17beb8.jpg,1,0
000187_jpeg.rf.228d46c48a83254dab1611d1ae174ed2.jpg,1,0
3b04f536-images-12-1-_jpeg.rf.548cf31ad4a3f6e0a01f2dbb9ffd2571.jpg,1,0
corretion_jpeg.rf.260f2eaae5b77dcfdd2130fd045b7a77.jpg,1,0
000179_jpeg.rf.14e8083f7f7fe9b60874f447b431ca61.jpg,0,1
Image_107_jpg.rf.ff78342ef150bc30264f3ea992369cbd.jpg,0,1
Image_72_jpg.rf.c53a47a63e5ae6e5c9efaa34c383b020.jpg,0,1
metal-cracks_168_jpeg.rf.1a61f45e9a7596530b2fb9ff373abe8f.jpg,1,0
21_jpeg.rf.d50e91ecc4ac1ecf6866111f97d19aac.jpg,0,1
364-_jpeg.rf.a40144ece15a2e7ec86c2fabb4f302d4.jpg,1,0
rusted-metal-sheet-texture1_jpg.rf.5252b0cd15c6ee9b2cba51c40297d5b3.jpg,1,0
1000_F_767931077_i0HeMZHlGyZBfGMlzKgnA3xrSlsqvxUY_jpg.rf.0318a2a7b3a3b11593833f78314d5c01.jpg,1,0
metal-cracks_122_jpeg.rf.ee50af04a5b2917f84112d8fc3faca39.jpg,1,0
WhatsApp-Video-2024-01-14-at-20_36_25_3228b9ed_mp4-47_jpg.rf.79e87358d58df3904bfef400a8b9aa8e.jpg,1,0
craiyon_084620_very_clean_galvanized_pipe_in_an_industrial_setting_png_jpg.rf.a53f860335d0c9f09217a77c1e31b53d.jpg,0,1
Image_111_jpg.rf.08f403e89d444274fe48fb5a1e507825.jpg,0,1
Image_73_jpg.rf.b7395434123e147ed0f1936d16bcc1d3.jpg,0,1
1000_F_169380475_rUVOVR5irAtnns5ohG45mbWylgHEsrFZ_jpg.rf.a7e4de7e63c78ed1ab1fe980181f7b70.jpg,0,1
hull040_jpeg.rf.a14fd31c36666353fd82a8c8063c7367.jpg,0,1
265-_jpeg.rf.fff04ec2339615e90d4424b5ac09d0a4.jpg,1,0
metal-cracks_14_jpeg.rf.b29709dd243340c0ba96a42df1a81185.jpg,1,0
rust_mp4-19_jpg.rf.3d3b1c84dc5ddc58742e7ad80c3259b9.jpg,1,0
Image_140_jpg.rf.4766e2fa447f838db46bc4841e2d5ac8.jpg,0,1
1000_F_534604483_zefq7Qhp8xgLp4iVaGU0mSlpjZhVfvXP_jpg.rf.076dc715f6fba2e41577c15d5fa9f300.jpg,1,0
Image_18_jpeg.rf.99ee76a260647f30278d47c0f6dc9e9d.jpg,0,1
000423_jpeg.rf.c05055f84f153f43f630682a073758dd.jpg,1,0
000186_jpeg.rf.a6b92cc56de3299ad72083eac1a44268.jpg,1,0
crack_jpeg.rf.b4099569bdd7035be7c6783306be1005.jpg,1,0
